prompt,q1,q2,q3,q4,q5,q6,o1,o2,o3,o4,o5,o6
Tap water flowing into the sink,流体运动是否真实合理？,,,,,,"-1：没有流体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Stream water flowing around rocks,流体运动是否真实合理？,,,,,,"-1：没有流体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Wave washing onto the beach and retreating,流体运动是否真实合理？,,,,,,"-1：没有流体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Rainwater streaming down a roof edge,流体运动是否真实合理？,,,,,,"-1：没有流体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
River current hitting shoreline grass,流体运动是否真实合理？,,,,,,"-1：没有流体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Beer poured into glass forming foam,流体运动是否真实合理？,,,,,,"-1：没有流体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Raindrops dripping from leaf tips,流体运动是否真实合理？,,,,,,"-1：没有流体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Juice in blender swirling and mixing,流体运动是否真实合理？,,,,,,"-1：没有流体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Chocolate sauce slowly pouring over cake,流体运动是否真实合理？,,,,,,"-1：没有流体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Egg mixture spreading quickly in frying pan,流体运动是否真实合理？,,,,,,"-1：没有流体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Milk overflowing rim and running down the glass,流体运动是否真实合理？,,,,,,"-1：没有流体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Ink spreading in a glass of water,流体运动是否真实合理？,,,,,,"-1：没有流体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Food coloring diffusing into clean water,流体运动是否真实合理？,,,,,,"-1：没有流体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Seasoning powder evenly dispersing in soup,流体运动是否真实合理？,,,,,,"-1：没有流体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Oil forming droplets floating on water surface,流体运动是否真实合理？,,,,,,"-1：没有流体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Milk slowly settling and mixing in coffee,流体运动是否真实合理？,,,,,,"-1：没有流体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Sunflower slowly turning toward the sun,渐变（植物生长、气球打气）运动是否真实合理？,,,,,,"-1：没有渐变运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Cherry blossoms blooming from buds to full bloom,渐变（植物生长、气球打气）运动是否真实合理？,,,,,,"-1：没有渐变运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Mung bean sprouts growing taller from seed,渐变（植物生长、气球打气）运动是否真实合理？,,,,,,"-1：没有渐变运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Pine cone slowly opening its scales,渐变（植物生长、气球打气）运动是否真实合理？,,,,,,"-1：没有渐变运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Vine tendrils slowly stretching and wrapping,渐变（植物生长、气球打气）运动是否真实合理？,,,,,,"-1：没有渐变运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Leaves changing from light green to deep green,渐变（植物生长、气球打气）运动是否真实合理？,,,,,,"-1：没有渐变运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Cactus sprouting a new arm,渐变（植物生长、气球打气）运动是否真实合理？,,,,,,"-1：没有渐变运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Orchid petals slowly unfolding,渐变（植物生长、气球打气）运动是否真实合理？,,,,,,"-1：没有渐变运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Tomato ripening from green to red,渐变（植物生长、气球打气）运动是否真实合理？,,,,,,"-1：没有渐变运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Lawn gradually covered by green grass,渐变（植物生长、气球打气）运动是否真实合理？,,,,,,"-1：没有渐变运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Metal surface slowly rusting,渐变（植物生长、气球打气）运动是否真实合理？,,,,,,"-1：没有渐变运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Wooden door fading in color,渐变（植物生长、气球打气）运动是否真实合理？,,,,,,"-1：没有渐变运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Balloon slowly deflating,渐变（植物生长、气球打气）运动是否真实合理？,,,,,,"-1：没有渐变运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Fruit in the fridge slowly drying and wrinkling,渐变（植物生长、气球打气）运动是否真实合理？,,,,,,"-1：没有渐变运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Dough gradually rising during fermentation,渐变（植物生长、气球打气）运动是否真实合理？,,,,,,"-1：没有渐变运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Paint slowly peeling from the wall,渐变（植物生长、气球打气）运动是否真实合理？,,,,,,"-1：没有渐变运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
"The skier turns smoothly, with a stable posture.",实体运动过程中是否自然不异常扭曲？,,,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。",,,,,
"The robotic arm assembles parts with smooth, jitter-free movements.",实体运动过程中是否自然不异常扭曲？,,,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。",,,,,
Glass fogging and then clearing up,渐变（植物生长、气球打气）运动是否真实合理？,,,,,,"-1：没有渐变运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Paper gradually turning yellow in sunlight,渐变（植物生长、气球打气）运动是否真实合理？,,,,,,"-1：没有渐变运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
The herd of horses gallops with each horse moving smoothly without any distortion.,实体运动过程中是否自然不异常扭曲？,,,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。",,,,,
Sculpture surface slowly getting dusty and dull,渐变（植物生长、气球打气）运动是否真实合理？,,,,,,"-1：没有渐变运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
"The rocket launches into the sky, with its exhaust plume moving smoothly without any sense of tearing.",实体运动过程中是否自然不异常扭曲？,,,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。",,,,,
"The diver plunges into the water with smooth, seamless movements.",实体运动过程中是否自然不异常扭曲？,,,,,,"-1：视频不存在运动实体,1：画面中的物体或人物发生极端变形，几乎无法识别原貌，严重影响观看体验。,2：扭曲现象较为明显，特别是在高速运动或特定角度下，导致物体或人物形态显著异常。,3：仅在快速移动或复杂背景下出现细微形变，通常难以被注意到。",,,,,
"The aerial shot flies through the forest with trees appearing stable and undistorted, and with consistent perspective.",静止的视频内容是否不因镜头移动产生异常扭曲？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：产生明显扭曲,2：产生轻微扭曲,3：没有异常",,,,,
Wax statue surface slowly cracking,渐变（植物生长、气球打气）运动是否真实合理？,,,,,,"-1：没有渐变运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
"The camera pushes in on the ancient temple gate, where the spatial structure is fixed and geometrically unchanged.",静止的视频内容是否不因镜头移动产生异常扭曲？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：产生明显扭曲,2：产生轻微扭曲,3：没有异常",,,,,
Cup,物体是否和文本一致,物体是否真实,,,,,"-1：文本没有指明任何物体，此问题作废,1：完全不一致（或完全没有出现文本描述的物体）,2：物体表现出了文本目标的特征（也像别的什么）,3：物体和文本一致","-1：提示文本规定了其他风格比如卡通风格时为-1，表示此问题作废,1：物体不是真实风格或形状纹理与真实物体有较大不同,2：物体是真实风格，但有一些形状或纹理缺陷，不够真实,3：物体非常真实，没有形状或纹理缺陷",,,,
"The camera surrounds the sculpture, showing the object stable and undistorted, without any stretching.",静止的视频内容是否不因镜头移动产生异常扭曲？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：产生明显扭曲,2：产生轻微扭曲,3：没有异常",,,,,
Apple,物体是否和文本一致,物体是否真实,,,,,"-1：文本没有指明任何物体，此问题作废,1：完全不一致（或完全没有出现文本描述的物体）,2：物体表现出了文本目标的特征（也像别的什么）,3：物体和文本一致","-1：提示文本规定了其他风格比如卡通风格时为-1，表示此问题作废,1：物体不是真实风格或形状纹理与真实物体有较大不同,2：物体是真实风格，但有一些形状或纹理缺陷，不够真实,3：物体非常真实，没有形状或纹理缺陷",,,,
The drone flew over the canyon with the rock formations fixed and undistorted below.,静止的视频内容是否不因镜头移动产生异常扭曲？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：产生明显扭曲,2：产生轻微扭曲,3：没有异常",,,,,
Dough piece thrown to the center of the board,物体运动轨迹是否真实合理？,,,,,,"-1：没有物体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Chair,物体是否和文本一致,物体是否真实,,,,,"-1：文本没有指明任何物体，此问题作废,1：完全不一致（或完全没有出现文本描述的物体）,2：物体表现出了文本目标的特征（也像别的什么）,3：物体和文本一致","-1：提示文本规定了其他风格比如卡通风格时为-1，表示此问题作废,1：物体不是真实风格或形状纹理与真实物体有较大不同,2：物体是真实风格，但有一些形状或纹理缺陷，不够真实,3：物体非常真实，没有形状或纹理缺陷",,,,
"A tracking shot of the study, with the bookshelves appearing stable and undistorted.",静止的视频内容是否不因镜头移动产生异常扭曲？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：产生明显扭曲,2：产生轻微扭曲,3：没有异常",,,,,
The long shot of the street moves while the architectural geometry remains undistorted and in consistent perspective.,静止的视频内容是否不因镜头移动产生异常扭曲？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：产生明显扭曲,2：产生轻微扭曲,3：没有异常",,,,,
Use a boom shot to capture the city skyline with consistent perspective and no distortion.,静止的视频内容是否不因镜头移动产生异常扭曲？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：产生明显扭曲,2：产生轻微扭曲,3：没有异常",,,,,
"Follow the camera as it moves down the corridor, with the walls appearing steady and undistorted.",静止的视频内容是否不因镜头移动产生异常扭曲？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：产生明显扭曲,2：产生轻微扭曲,3：没有异常",,,,,
"A scanning lens is used to photograph the museum exhibits, with the spatial structure fixed.",静止的视频内容是否不因镜头移动产生异常扭曲？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：产生明显扭曲,2：产生轻微扭曲,3：没有异常",,,,,
"A woman smiles standing at the center in daytime, tilt up.",镜头移动是否和文本一致？,,,,,,"-1：文本没有描述镜头,1：不一致,2：一致",,,,,
Night street lamps provide steady lighting with no flicker.,静止的视频内容是否稳定不随时间变动？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,,,
Toy car sliding down an inclined surface,物体运动轨迹是否真实合理？,,,,,,"-1：没有物体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
"A city street scene in low light, with a smooth and noise-free image.",视频是否没有噪点？,,,,,,"1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点",,,,,
Shooting stalactites in underground caves produces clean and noise free images.,视频是否没有噪点？,,,,,,"1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点",,,,,
Spinning top slowing down to a stop,物体运动轨迹是否真实合理？,,,,,,"-1：没有物体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
"A mist-covered forest, with a clean image and clear details.",视频是否没有噪点？,,,,,,"1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点",,,,,
Ball rolling along a circular track,物体运动轨迹是否真实合理？,,,,,,"-1：没有物体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
Books on the shelf remain unmoved in the library.,静止的视频内容是否稳定不随时间变动？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,,,
"High ISO night scene with vehicle traffic, but the image is noise-free and smooth.",视频是否没有噪点？,,,,,,"1：有很多噪点，非常影响视频观感,2：有一些噪点，能意识到噪点，轻微影响视频观感,3：有极少量噪点，不太能意识到噪点,4：没有噪点",,,,,
Indoor still life photography involves static objects that remain constant and do not drift.,静止的视频内容是否稳定不随时间变动？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,,,
Shoot the library bookshelves from a moving angle to ensure geometric distortion is avoided and the structure is clear.,静止的视频内容是否不因镜头移动产生异常扭曲？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：产生明显扭曲,2：产生轻微扭曲,3：没有异常",,,,,
A surveillance camera monitors the living room with high time stability and no flicker.,静止的视频内容是否稳定不随时间变动？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,,,
Paper ball bouncing off wall then landing,物体运动轨迹是否真实合理？,,,,,,"-1：没有物体运动,1：完全不真实,2：有一些异常,3：真实合理",,,,,
"A woman smiles standing at the center in daytime, pan left.",镜头移动是否和文本一致？,,,,,,"-1：文本没有描述镜头,1：不一致,2：一致",,,,,
A clock hangs still on the wall in the train station waiting hall.,静止的视频内容是否稳定不随时间变动？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,,,
The desk lamp remained on steadily without any flicker.,静止的视频内容是否稳定不随时间变动？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,,,
"The wall clock hangs on the wall, its hands moving without any background drift.",静止的视频内容是否稳定不随时间变动？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,,,
A cinema screen in ukiyo-e style.,视频风格是否和文本一致？,,,,,,"-1：提示文本没有规定视频风格，表示此问题作废,1：完全不一致（完全是不同的视频风格，没有任何目标风格的特征）,2：视频表现出一部分目标风格的特征,3：完全一致",,,,,
"A woman smiles standing at the center in daytime, pan right.",镜头移动是否和文本一致？,,,,,,"-1：文本没有描述镜头,1：不一致,2：一致",,,,,
"There was no movement in the room, and all objects remained still without any shaking.",静止的视频内容是否稳定不随时间变动？,,,,,,"-1：镜头没有移动或者视频内容在运动,1：非常不稳定，每一帧之间似乎都完全不相关,2：比较不稳定，内容有明显变动，但内容可以认知为一致,3：比较稳定，内容只有轻微变化，变化幅度频率较低,4：非常稳定，静止的背景和主体都不随时间变化",,,,,
"A woman smiles standing at the center in daytime, truck right.",镜头移动是否和文本一致？,,,,,,"-1：文本没有描述镜头,1：不一致,2：一致",,,,,
