ind,prompt,prompt_cn,types,tokens
GQ00000,Elon Musk sitting down.,马斯克坐下。,"人名,动作",4
GQ00001,Michael Jordan standing up.,乔丹站起。,"人名,动作",4
GQ00002,Kobe Bryant turning around.,科比·布莱恩特转身。,"人名,动作",4
GQ00003,Madonna bending over.,麦当娜弯腰。,"人名,动作",3
GQ00004,Charlie Chaplin hands on hips.,查理·卓别林双手叉腰。,"人名,动作",5
GQ00005,Lionel Messi patting shoulder.,梅西拍肩。,"人名,动作",4
GQ00006,Cristiano Ronaldo crossing arms.,C罗抱胸。,"人名,动作",4
GQ00007,Angelina Jolie raising hand.,安吉丽娜·朱莉抬手。,"人名,动作",4
GQ00008,Brad Pitt typing on a keyboard.,布拉德·皮特打字。,"人名,动作",6
GQ00009,Arnold Schwarzenegger writing.,施瓦辛格写字。,"人名,动作",3
GQ00010,Bruce Lee opening a door.,李小龙开门。,"人名,动作",5
GQ00011,Steve Jobs closing a door.,史蒂夫·乔布斯关门。,"人名,动作",5
GQ00012,Johnny Depp singing.,约翰尼·德普唱歌。,"人名,动作",3
GQ00013,Lady Gaga yawning.,Lady Gaga打哈欠。,"人名,动作",3
GQ00014,Donald Trump blinking.,特朗普眨眼。,"人名,动作",3
GQ00015,Barack Obama chewing.,奥巴马咬东西。,"人名,动作",3
GQ00016,Vladimir Putin swimming.,普京游泳。,"人名,动作",3
GQ00017,Jack Ma riding a bicycle.,马云骑自行车。,"人名,动作",5
GQ00018,Yao Ming driving a car.,姚明开车。,"人名,动作",5
GQ00019,Andy Lau dancing.,刘德华跳舞。,"人名,动作",3
GQ00020,Albert Einstein,爱因斯坦,人名,2
GQ00021,Marilyn Monroe,玛丽莲·梦露,人名,2
GQ00022,Michael Jackson,迈克尔·杰克逊,人名,2
GQ00023,Audrey Hepburn,奥黛丽·赫本,人名,2
GQ00024,Jackie Chan,成龙,人名,2
GQ00025,Albert Einstein,爱因斯坦,人名,2
GQ00026,Taylor Swift,泰勒·斯威夫特,人名,2
GQ00027,Leonardo DiCaprio,莱昂纳多·迪卡普里奥,人名,2
GQ00028,Emma Watson,艾玛·沃特森,人名,2
GQ00029,Jay Chou,周杰伦,人名,2
GQ00030,"A young woman looks down at her phone on the balcony, with a clear face, body slightly leaning forward, showing a focused expression, wearing a white shirt and jeans, leaning against the right side of the railing.",一位年轻女子在阳台上低头看手机，面部清晰，身体微微前倾，露出专注的神情，穿着白色衬衫和牛仔裤，靠在栏杆右侧。,人生成质量,37
GQ00031,"A teenage boy jumps to shoot on the outdoor basketball court, face slightly frowning with effort, wearing a sleeveless jersey and shorts, his body suspended in front of the hoop.",一名少年在室外篮球场跳起投篮，面部因用力而微微皱眉，身穿无袖球衣和短裤，身体悬空在篮筐前方。,人生成质量,30
GQ00032,"An elderly man sits sideways on a garden bench, smiling, with a relaxed posture leaning against the backrest, wearing a plaid shirt and beige trousers, positioned at the lower left of the frame.",一位老人在花园长椅上侧坐，面带微笑，姿态放松地靠着椅背，穿着格子衬衫和米色裤子，位置在画面的左下方。,人生成质量,33
GQ00033,"A chef chops carrots at the kitchen counter, with a focused face, wearing a white chef’s uniform and tall hat, body slightly leaning toward the ingredients.",一名厨师站在厨房操作台前切胡萝卜，面容专注，穿着白色厨师服和高帽，身体微微前倾靠近食材。,人生成质量,26
GQ00034,"A young man holds a skateboard at the street corner, smiling slightly, with a casual posture, wearing a gray hoodie and sneakers, standing near the right side of the wall.",一位年轻男子在街角扶着滑板，嘴角上扬，姿态轻松，穿着灰色连帽衫和运动鞋，身体靠近墙面右侧。,人生成质量,30
GQ00035,"A long-haired woman sits by the café window, facing outward with a calm expression, wearing a red sweater and scarf, posture upright yet relaxed.",一位长发女子坐在咖啡馆窗边，面部朝向外面，露出平静的神情，身穿红色毛衣和围巾，身体姿态直立且放松。,人生成质量,24
GQ00036,"A runner sprints along a park path in the early morning, face glistening with sweat, with a determined expression, wearing tight sportswear and running shoes, body leaning forward in motion.",一名跑步者在清晨的公园小道上冲刺，面部泛着汗水，神情坚定，穿着紧身运动服和跑鞋，身体前倾向前冲。,人生成质量,30
