编号,各组合维度,Prompt,en_prompt
1,整体 + 构图,一位诗人站在樱花树下，画面构图采用黄金分割，人物与自然景观和谐统一，整体氛围宁静富有诗意，凸显视觉美感。,"A poet stands beneath a cherry blossom tree, with the composition following the golden ratio, harmoniously blending the figure with the natural scenery. The overall atmosphere is serene and poetic, highlighting a visual beauty."
2,整体 + 景别,宏大的古代宫殿全景镜头缓缓推进至雕花门窗特写，展现建筑整体气势与细节层次，景别变化丰富叙事。,"A grand panoramic view of an ancient palace gradually zooms in to a close-up of the carved windows and doors, showcasing both the overall grandeur and the intricate details of the architecture, with rich variations in framing that tell a story."
3,整体 + 光照,夕阳下的海滩，柔和逆光勾勒人物轮廓，整体色彩温暖，光线渲染浪漫气氛，视频充满情感共鸣。,"The beach under the sunset, with soft backlight outlining the contours of the figures, has an overall warm color palette that renders a romantic atmosphere, filled with emotional resonance in the video."
4,整体 + 影调,黑暗森林中一缕月光照亮小径，低影调强化神秘氛围，整体视频如梦境般引人入胜。,"A sliver of moonlight illuminates the path in the dark forest, enhancing the mysterious atmosphere with its low lighting. The entire video is enchanting, like a dream."
5,整体 + 色彩,丰收的果园特写，果实色彩饱和鲜艳，整体画面充满活力，传递喜悦情感，视觉冲击力强。,"A close-up of a bountiful orchard with fruits in vivid and saturated colors, creating a lively overall scene that conveys feelings of joy and has a strong visual impact."
6,整体 + 景深,厨师烹饪时焦点对准菜肴，背景虚化突出食物精致，整体视频流畅自然，诱人味蕾。,"The chef focuses on the dish while cooking, with a blurred background to highlight the delicacy of the food. The entire video is smooth and natural, tempting the viewer's taste buds."
7,整体 + 表情,特写人物微笑表情，眼神充满希望，整体视频情感饱满，引发观众强烈共鸣。,"A close-up of the character smiling, with hopeful eyes, creates an emotionally rich video that strongly resonates with the audience."
8,整体 + 服装,传统旗袍人物在江南水乡漫步，服装精致凸显文化韵味，整体画面古雅和谐。,"A traditional cheongsam-clad figure strolls through the water towns of Jiangnan, the exquisite attire highlighting the cultural charm, with the entire scene exuding an ancient and harmonious elegance."
9,整体 + 化妆,舞台演员的戏剧性妆容特写，化妆风格突出角色个性，整体视频艺术性强。,"Close-up of a theatrical actor's dramatic makeup, with a styling that highlights the character's personality, making the entire video visually artistic."
10,构图 + 景别,山脉远景与溪流近景交替，构图平衡主次分明，景别变化增强自然震撼力。,"The distant mountains and the nearby stream alternate, creating a balanced composition with clear focal points. The variation in scenery enhances the natural awe-inspiring effect."
11,构图 + 光照,城市建筑线条构图独特，黄昏光线塑造立体感，光影交错增强视觉层次。,"The city's architectural lines are uniquely composed, and the evening light casts shadows that enhance a sense of depth, with the interplay of light and shadow adding visual layers."
12,构图 + 影调,书房内书本堆叠的构成感构图，低影调突出宁静氛围，画面富有深度。,"The composition of books stacked in the study, with low-key lighting to emphasize a tranquil atmosphere, creates a sense of depth in the picture."
13,构图 + 色彩,市场摊位色彩缤纷，构图错落有致，色彩对比强烈且和谐，视觉愉悦。,"The market stalls are colorful, with a well-arranged layout that features strong yet harmonious color contrasts, providing a visually pleasing experience."
14,构图 + 景深,花卉前景虚化，焦点在中央人物，构图有层次感，景深自然突出主体。,"The flowers in the foreground are blurred, with the focus on the central figure. The composition has a sense of depth and layers, naturally highlighting the subject."
15,构图 + 表情,人物侧脸特写，构图采用三分法，表情忧郁传达情感，画面富有美感。,"A close-up of a character's profile, composed using the rule of thirds, with a melancholic expression that conveys emotion, creating a visually appealing image."
16,构图 + 服装,民族服装舞者动态构图，服装花纹与动作呼应，构图增强文化表现力。,"A dynamic composition of ethnic costume dancers, where the patterns on their costumes complement their movements, enhancing the cultural expression."
17,构图 + 化妆,面部妆容特写，构图对称突出五官，化妆风格复古，视觉冲击力强。,"Close-up of facial makeup with a symmetrical composition that highlights the features in a retro style, creating a strong visual impact."
18,景别 + 光照,从森林全景切换到阳光透过树叶的特写，光线斑驳渲染神秘气氛，景别过渡流畅。,"From a panoramic view of the forest to a close-up of sunlight filtering through the leaves, the dappled light casts a mysterious atmosphere, and the scene transitions smoothly."
19,景别 + 影调,战争废墟广角与残骸特写，低影调强化悲壮情感，景别变化深化叙事。,"Wide shots of war ruins and close-ups of debris, with low contrast enhancing the sense of tragedy, and changes in shot size deepening the narrative."
20,景别 + 色彩,彩虹全景与水滴特写，色彩渐变自然，景别运用增强自然之美。,"A full panoramic rainbow and close-up droplets, with natural color gradients, enhancing the beauty of nature through the use of different shot sizes."
21,景别 + 景深,城市天际线宏观镜头转向街道浅景深，景别与景深结合突出都市活力。,"The macro shot of the city skyline transitions to a close-up of the street with a shallow depth of field, combining framing and depth of field to highlight the dynamism of the city."
22,景别 + 表情,从人群远景聚焦到人物喜悦表情特写，景别烘托情感感染力。,"From a wide shot of the crowd, the focus shifts to a close-up of a person's joyful expression, highlighting the emotional impact."
23,景别 + 服装,传统节日游行广角与服装细节特写，景别展现服装文化与场面宏大。,Wide shots and close-ups of costumes during traditional festival parades showcase the cultural richness of the attire and the grand scale of the events.
24,景别 + 化妆,化妆过程从全景到眼部特写，景别强调化妆技巧与艺术性。,"The makeup process is shown from wide shots to close-ups of the eyes, emphasizing techniques and the artistry involved."
25,光照 + 影调,烛光晚餐场景，暖光营造温馨影调，光线与影调融合表达浪漫情绪。,"A candlelit dinner scene, with warm lighting creating a cozy atmosphere, blending the light and shadows to express a romantic mood."
26,光照 + 色彩,极光下景观，光线变幻与色彩流动结合，视觉震撼且和谐。,"The aurora-lit landscape, with its combination of shifting lights and flowing colors, is visually stunning and harmonious."
27,光照 + 景深,舞台聚光灯聚焦歌手，背景虚化，光线突出主体，景深增强表演张力。,"The stage spotlight focuses on the singer, with the background blurred, highlighting the subject and enhancing the dramatic tension of the performance through depth of field."
