id,维度,prompt,en_prompt
B001,模糊,一只红隼在蓝天中盘旋，画面清晰的。,"A common kestrel is circling in the blue sky, with the scene being clear."
B002,模糊,高分辨率的镜头下，一只蚂蚁在搬运树叶。,"Under high-resolution magnification, an ant is carrying a leaf."
B003,模糊,显微镜下的蝴蝶翅膀，细节丰富的纹理清晰可见。,The wings of a butterfly under a microscope reveal intricate textures in clear detail.
B004,模糊,城市夜景航拍，灯光锐利的，不模糊的。,"Aerial photography of the city at night, with sharp lights that are not blurry."
B005,模糊,水滴落在荷叶上，高清慢动作，细节丰富的。,"A droplet falls onto a lotus leaf in ultra-slow motion, revealing rich details."
B006,模糊,老人脸上皱纹特写，高分辨率的皮肤纹理。,"Close-up of the wrinkles on an elderly person's face, with high-resolution skin texture."
B007,模糊,太空望远镜拍摄的星云，清晰的、色彩分明。,Clear and vividly colored nebula photographs taken by a space telescope.
B008,模糊,高速列车驶过田野，画面不模糊的、锐利的。,"A high-speed train races through the fields with a sharp, clear image."
B009,模糊,猫咪瞳孔对焦瞬间，细节丰富的、清晰的。,"The moment a cat's pupils focus, the details are rich and clear."
B010,模糊,古籍上的文字被扫描，高分辨率的、清晰可辨。,The text on the ancient books has been scanned at high resolution and is clear and legible.
B011,运动扭曲,一只猎豹奔跑，动作流畅的、运动自然的。,A cheetah runs smoothly and naturally.
B012,运动扭曲,芭蕾舞者旋转跳跃，运动不扭曲的、无抖动的。,"The ballerina spins and jumps, moving without distortion or shaking."
B013,运动扭曲,海豚跃出海面，动作流畅的、无形变的。,"The dolphin leaped out of the water with smooth, seamless movements."
B014,运动扭曲,小孩踢足球，运动自然的、关节无异常弯曲。,"The child kicks a soccer ball, with natural movements and no abnormal bending of the joints."
B015,运动扭曲,鸟类振翅飞行，翅膀运动不扭曲的。,Birds flap their wings to fly without distorting their wing movement.
B016,运动扭曲,滑雪运动员转弯，动作流畅的、姿态稳定。,"The skier turns smoothly, with a stable posture."
B017,运动扭曲,机器人手臂组装零件，运动自然的、无抖动。,"The robotic arm assembles parts with smooth, jitter-free movements."
B018,运动扭曲,马群奔腾，每匹马动作流畅的、无形变。,The herd of horses gallops with each horse moving smoothly without any distortion.
B019,运动扭曲,火箭升空，尾焰运动自然的、无撕裂感。,"The rocket launches into the sky, with its exhaust plume moving smoothly without any sense of tearing."
B020,运动扭曲,跳水运动员翻腾入水，动作流畅的、无卡顿。,"The diver plunges into the water with smooth, seamless movements."
B021,静物扭曲,航拍穿过森林，树木稳定不扭曲的、透视一致的。,"The aerial shot flies through the forest with trees appearing stable and undistorted, and with consistent perspective."
B022,静物扭曲,镜头推进古庙大门，空间结构固定的、几何不变形的。,"The camera pushes in on the ancient temple gate, where the spatial structure is fixed and geometrically unchanged."
B023,静物扭曲,摄像机环绕雕塑，物体稳定不扭曲的、无拉伸。,"The camera surrounds the sculpture, showing the object stable and undistorted, without any stretching."
B024,静物扭曲,街道长镜头移动，建筑几何不变形的、透视一致。,The long shot of the street moves while the architectural geometry remains undistorted and in consistent perspective.
B025,静物扭曲,推轨镜头拍摄书房，书架稳定不扭曲的。,"A tracking shot of the study, with the bookshelves appearing stable and undistorted."
B026,静物扭曲,无人机飞越峡谷，岩壁结构固定的、无畸变。,The drone flew over the canyon with the rock formations fixed and undistorted below.
B027,静物扭曲,扫描式镜头拍摄博物馆展品，空间结构固定。,"A scanning lens is used to photograph the museum exhibits, with the spatial structure fixed."
