编号,构图,光源数量,光源位置,光的质量,光的色彩,景别类型,景深范围,饱和度,亮度,色温,对比度,Prompt,en_prompt
T001,对称构图,,顺光,,白光,全景,深景深,,,,,清晨的寺庙在薄雾中对称矗立，阳光从正前方柔和照亮建筑，形成清晰的白光照明，整体画面为全景视角，具有深景深，展现从前景石狮到后殿的完整层次。,"The morning temple stands symmetrically amid the mist, with soft sunlight gently illuminating the buildings from the front, casting clear beams of white light. The entire scene is captured in a wide-angle shot with deep depth of field, showcasing the complete layers from the stone lions at the forefront to the rear hall."
T002,三分法构图,多光源,,,暖光,,,,中,,高,黄昏的城市天际线延展在远方，采用三分法构图将天空与城市分界，多光源来自万家灯火与晚霞，呈现暖色调光线，整体亮度中等，色彩对比度高。,"The skyline of the city stretches into the distance at dusk. Using the rule of thirds, the sky and the city are distinctly separated. Multiple light sources from myriad household lights and twilight create warm-toned illumination. The overall brightness is moderate, with high color contrast."
T003,引导线构图,,顶光,软光,,中景,,低,,,,森林小径以引导线构图延伸至远方，顶光穿透树叶洒下斑驳光影，光线为软光，画面饱和度低，呈现中景视角，突出路径的纵深感。,"The forest path extends into the distance in a leading line composition, with soft dappled light filtering through the leaves from above. The scene has low saturation and is captured from a mid-range perspective, emphasizing the depth of the path."
T004,中心构图,,逆光,硬光,,,,,暗,冷,中,沙漠中的旅人背对夕阳，形成逆光轮廓，使用中心构图突出剪影主体，光线为硬光，色温偏冷，整体画面亮度暗，对比度中等。,"A traveler in the desert stands with his back to the setting sun, creating a silhouette against the light. Using central composition highlights the main subject. The lighting is hard, with a cool color temperature, and the overall scene is dark with medium contrast."
T005,非对称构图,多光源,,,彩色光,近景,浅景深,高,,,,雨夜街道采用非对称构图，霓虹灯作为多光源从两侧打来，形成彩色光效果，画面为近景，浅景深聚焦行人面部，饱和度高。,"The rainy night street uses an asymmetrical composition, with neon lights from multiple sources shining in from both sides to create a colorful lighting effect. The scene is close-up, with a shallow depth of field focusing on the pedestrians' faces and high color saturation."
T006,框架构图,单光源,,硬光,,特写,,,,中,高,舞台中央的舞者被聚光灯照亮，形成单光源硬光效果，采用框架构图（以幕布边缘为框），特写镜头聚焦面部，色温中性，对比度高。,"The dancer at the center of the stage is illuminated by a spotlight, creating a hard single-source lighting effect. The scene is framed by the edge of the curtain, with a close-up focusing on the face. The color temperature is neutral, and the contrast is high."
T007,三分法构图,,顺光,,白光,远景,深景深,低,亮,,,雪原上的木屋在远景中呈现，使用三分法构图将地平线置于下三分之一，顺光照明带来柔和白光，深景深展现广阔空间，亮度亮，饱和度低。,"The wooden cabin on the snowfield is visible in the distance. Using the rule of thirds, the horizon is placed at the lower third of the frame. The front lighting provides soft white light, and the deep depth of field showcases the vast space. The image is bright with low saturation."
T008,对称构图,,顶光,硬光,,全景,,,中,冷,中,实验室中，顶光直射工作台，形成硬光阴影，画面为全景，采用对称构图布置仪器，色温冷，对比度中等，整体亮度中。,"In the lab, direct top lighting on the workbench creates hard shadows. The scene is a wide shot with instruments arranged in a symmetrical composition. The color temperature is cool, with medium contrast and overall moderate brightness."
T009,引导线构图,多光源,侧光,,,,浅景深,,,中,,城市地铁站内，多光源来自顶灯与广告牌，侧光勾勒出候车人的轮廓，使用引导线构图（轨道延伸），景深浅，聚焦人物，色温中性。,"In the city subway station, multiple light sources come from the ceiling lights and advertisements. The side lighting outlines the contours of the passengers waiting. Using leading lines composition (the tracks extending), with a shallow depth of field focusing on the figures, and neutral color temperature."
T010,中心构图,单光源,,,暖光,近景,,,,,低,烛光晚餐场景，单光源（蜡烛）提供暖光照明，采用中心构图突出情侣，近景拍摄，饱和度中等，对比度低，营造温馨氛围。,A candlelit dinner scene with a single light source (candle) providing warm illumination. The composition centers on the couple in a close-up shot with medium saturation and low contrast to create a cozy atmosphere.
T011,框架构图,,逆光,软光,,全景,深景深,,,暖,,古建筑庭院采用框架构图（门廊为框），逆光勾勒屋檐轮廓，软光漫射使阴影柔和，全景视角，深景深，色温偏暖。,"The ancient architectural courtyard uses a framed composition (with the portico as the frame), backlighting to outline the eaves, soft light to diffuse and soften the shadows, a wide-angle view, deep depth of field, and a warm color temperature."
T012,非对称构图,,底光,硬光,,特写,,,,,高,舞台剧演员站在中央，底光从下方打出诡异阴影，使用非对称构图制造张力，特写镜头，硬光增强戏剧感，对比度高。,"The stage actor stands at the center, with harsh footlights casting eerie shadows from below. An asymmetrical composition builds tension, while a close-up shot and high-contrast lighting enhance the dramatic effect."
T013,三分法构图,多光源,,,彩色光,远景,,高,暗,,,极光在夜空中舞动，远景展现天地全貌，三分法构图划分天空与雪地，多光源（极光+月光）形成冷色调彩色光，亮度暗，饱和度高。,"The aurora dances in the night sky, with a distant view revealing the full expanse of heaven and earth. The rule of thirds composition divides the sky from the snow-covered ground. Multiple light sources (aurora and moonlight) create a cold-toned colorful glow with low brightness but high saturation."
